	Mahou	Cruzcampo	Heineken	Estrella	San-Miguel	Carlsberg	Coronita	Amstel	Bud	Voll-Damm
A3_P3_1	8	1	8	8	8	8	8	8	8	8
A1_P2_2	10	1	8	8	1	1	8	1	1	1
A4_P7_3	9	1	1	9	1	1	1	1	1	10
A6_P3_4	6	1	4	6	10	1	1	6	1	6
A3_P3_5	9	1	8	7	7	8	4	7	1	6
A4_P3_6	7	1	7	1	9	1	1	1	9	1
A5_P2_7	8	1	6	1	1	6	1	1	1	1
A1_P7_8	10	10	7	10	8	7	8	9	7	7
A3_P9_9	1	10	1	1	1	1	1	1	1	1
A5_P8_10	1	1	1	5	1	5	1	2	1	10
A1_P7_11	7	7	6	7	7	5	6	7	5	6
A2_P9_12	9	9	4	7	10	4	6	7	6	3
A1_P2_13	9	1	6	1	1	4	3	1	1	1
A4_P2_14	9	1	1	1	1	1	9	6	6	1
A4_P2_15	7	1	1	1	1	1	7	1	1	1
A1_P8_16	7	7	8	7	6	7	6	7	6	7
A3_P9_17	4	10	8	8	6	1	1	8	7	1
A6_P4_18	6	6	8	1	6	8	8	6	7	5
A2_P6_19	7	8	10	7	7	4	1	8	1	7
A2_P1_20	6	5	9	6	10	10	10	10	8	9
A4_P6_21	8	8	9	8	8	9	9	5	4	4
A4_P2_22	9	1	7	1	7	1	8	8	1	1
A2_P8_23	9	6	9	1	5	9	1	7	1	7
A3_P9_24	7	9	6	6	7	6	9	7	3	3
A3_P3_25	8	1	1	7	10	9	1	8	1	1
A1_P3_26	4	4	7	9	9	6	4	7	5	5
A1_P4_27	8	8	10	10	7	8	10	8	10	5
A1_P5_28	5	1	8	6	1	3	6	9	3	7
A5_P3_29	7	6	9	6	10	9	1	7	10	5
A1_P9_30	7	8	6	7	9	1	10	1	1	5
A1_P2_31	9	1	10	1	1	1	10	1	1	1
A5_P3_32	10	5	1	1	10	1	2	2	1	1
A4_P6_33	10	7	8	6	7	1	1	1	1	1
A1_P5_34	1	1	1	10	1	1	10	1	10	10
A2_P6_35	10	7	6	1	5	1	1	10	1	1
A5_P8_36	7	8	7	8	7	8	8	8	7	8
