	Mahou	Cruzcampo	Heineken	Estrella	San-Miguel	Carlsberg	Coronita	Amstel	Bud	Voll-Damm
A3_P3_1	8	1	8	8	8	8	8	8	8	8
A1_P2_2	10	1	8	8	1	1	8	1	1	1
A4_P7_3	9	1	1	9	1	1	1	1	1	10
A6_P3_4	6	1	4	6	10	1	1	6	1	6
A3_P3_5	9	1	8	7	7	8	4	7	1	6
A4_P3_6	7	1	7	1	9	1	1	1	9	1
A5_P2_7	8	1	6	1	1	6	1	1	1	1
A1_P7_8	10	10	7	10	8	7	8	9	7	7
A3_P9_9	1	10	1	1	1	1	1	1	1	1
A5_P8_10	1	1	1	5	1	5	1	2	1	10
A1_P7_11	7	7	6	7	7	5	6	7	5	6
A2_P9_12	9	9	4	7	10	4	6	7	6	3
A1_P2_13	9	1	6	1	1	4	3	1	1	1
A4_P2_14	9	1	1	1	1	1	9	6	6	1
A4_P2_15	7	1	1	1	1	1	7	1	1	1
