	Mahou	Cruzcampo	Heineken	Estrella	San-Miguel	Carlsberg	Coronita	Amstel	Bud	Voll-Damm
Expensive	2.67	2.43	3.65	2.75	2.72	3.60	4.09	2.60	4.12	3.81
Value	3.70	3.81	3.31	3.69	3.69	3.19	2.66	3.43	2.88	3.24
Well-Known	4.36	4.17	4.68	4.09	4.52	4.00	4.11	3.98	3.51	3.67
Premium	3.61	3.59	4.05	3.48	3.52	3.68	3.93	3.33	4.02	4.12
Watery	2.58	2.91	2.83	2.69	2.79	2.77	3.58	2.89	2.84	1.52
Easy-to-drink	4.20	4.12	4.10	3.80	3.97	3.79	4.34	3.72	3.53	3.24
Smooth	3.16	3.23	3.33	3.09	3.37	3.20	4.24	2.95	3.24	1.94
Bitter	2.42	2.44	2.30	2.66	2.36	2.34	1.81	2.55	2.41	3.46
Refreshing	3.89	4.02	4.16	3.90	3.95	3.52	4.14	3.55	3.56	3.37
Everyday/Home	3.38	2.90	2.90	2.74	3.02	2.30	2.40	2.20	2.00	2.53
Share-at-home	3.88	3.50	3.92	3.39	3.62	3.44	3.45	3.31	3.45	3.62
Home-party-drink	3.99	3.73	4.09	3.68	3.78	3.37	3.71	3.57	3.42	3.60
With-food	3.90	3.90	3.00	3.69	3.84	2.86	2.46	3.76	2.67	2.57
Night-club	2.96	2.80	4.24	3.09	2.90	4.02	3.75	2.92	3.72	3.45
International	2.69	2.63	4.66	2.91	3.16	4.28	4.37	3.48	4.53	3.82
To-be-seen	3.10	2.75	3.46	2.96	2.91	3.23	3.24	2.85	3.25	3.22
Family	4.13	4.18	3.32	3.47	4.04	2.83	2.60	3.33	2.45	2.67
Sophisticated	2.80	2.68	3.63	2.53	2.72	3.45	3.50	2.82	3.48	3.72
Youthful	3.36	3.41	3.76	3.13	2.97	3.25	3.83	2.92	2.85	2.47
Availability-(Out)	3.97	3.72	4.02	3.75	3.74	3.41	3.78	3.44	2.54	3.27
Availability-(Store)	4.36	4.25	4.39	4.20	4.34	3.72	4.07	4.29	3.24	3.56
National	4.49	4.62	1.87	4.30	4.72	1.63	1.67	3.65	1.39	3.13
Price	2.40	2.37	3.39	2.25	2.19	3.29	4.06	2.30	3.30	3.50
Market-share	18.20	16.50	4.10	11.40	9.00	4.00	4.00	10.00	4.00	17.00
