	Mahou	Cruzcampo	Heineken	Estrella	San-Miguel	Carlsberg	Coronita	Amstel	Bud	Voll-Damm
Expensive	3.00	2.27	4.28	3.20	2.50	4.25	3.67	1.88	4.00	4.33
Value	3.33	3.91	3.27	3.33	3.00	1.40	1.67	4.55	1.20	2.00
Well-Known	4.80	4.69	5.00	3.60	3.30	2.75	3.86	3.23	2.33	2.33
Premium	4.00	4.45	4.71	3.71	4.50	3.75	3.33	4.61	3.80	5.00
Watery	2.38	2.39	2.88	2.33	2.50	2.83	4.18	1.91	3.33	1.00
Easy-to-drink	4.00	3.86	4.33	3.25	4.00	3.00	5.00	3.88	3.50	1.00
Smooth	2.44	2.88	3.87	2.44	3.00	3.43	4.73	2.26	4.13	1.00
Bitter	3.22	3.27	2.00	3.56	2.00	2.86	1.55	2.63	2.25	4.50
Refreshing	4.00	4.75	4.17	3.00	3.00	3.00	4.50	3.55	3.50	2.00
Everyday/Home	2.29	3.22	3.65	1.71	1.00	1.60	1.50	3.20	1.33	1.00
Share-at-home	3.00	4.07	4.59	2.40	3.00	3.50	3.00	3.86	2.40	4.00
Home-party-drink	3.33	3.43	5.00	2.50	3.30	4.00	4.00	3.13	3.00	2.00
With-food	3.00	4.33	3.19	1.75	5.00	1.67	2.13	4.14	1.33	1.50
Night-club	2.80	2.09	4.87	2.50	2.50	4.00	4.43	1.92	4.00	1.00
International	1.63	1.40	5.00	1.43	2.50	4.60	4.27	3.82	4.83	1.25
To-be-seen	2.00	3.11	4.73	2.33	2.50	4.00	2.80	3.70	3.50	2.00
Family	4.40	4.40	2.61	3.20	5.00	1.75	1.75	3.76	1.67	3.00
Sophisticated	2.75	2.47	4.84	3.25	3.00	3.75	4.13	2.81	4.17	2.00
Youthful	2.50	3.13	4.59	3.00	3.00	3.33	4.38	2.53	3.50	1.00
Availability-(Out)	5.00	3.33	4.50	2.50	2.00	3.33	3.43	3.07	1.75	1.50
Availability-(Store)	5.00	4.63	4.89	3.50	3.50	3.00	3.71	4.25	2.60	4.00
National	4.88	4.87	1.50	3.86	5.00	1.50	1.50	3.47	1.20	4.00
Price	2.40	2.37	3.39	2.25	2.19	3.29	4.06	2.30	3.30	3.50
Market-share	18.20	16.50	4.10	11.40	9.00	4.00	4.00	10.00	4.00	17.00
