	G20	Ford	Audi	Toyota	Eagle	Honda	Saab	Pontiac	BMW	Mercury
Attractive	5.6	4	4.6	5.6	4	5.2	5.3	3.9	5.7	3.9
Quiet	6.3	3.6	5.2	4.2	3.5	5.4	4.8	2.8	5	3.3
Unreliable	2.9	4.2	3.7	2	4.3	3.2	3.7	3.9	2.3	4
Poorly_Built	1.6	4.2	2.6	2.1	4.3	2.8	2.8	4.4	1.8	4.3
Interesting	3.6	5	4	4.3	3.9	3.4	3.4	5.4	3.3	3.9
Sporty	4.1	4.9	3.8	6.2	4.9	5.1	4.3	5.7	4.1	5.2
Uncomfortable	3.2	4	2.4	3.7	4	3.3	2.5	4.3	3.5	4.4
Roomy	4.2	3.9	5.3	3.5	3.6	3.9	5.8	3.3	4.3	3.6
Easy_Service	4.6	4.9	3.5	4.9	4.6	5	3.8	4.7	4.1	4.6
Prestige	6.4	3.5	5.6	5.3	2.8	4.7	5.4	3.8	6.4	3.3
Common	3.5	3.6	3.4	2.9	4.3	3.9	1.9	4.3	2.8	3.9
Economical	3.6	3.7	3.6	3.2	4.9	5	4.3	3.1	4.3	4.6
Successful	5.3	4.2	5	5.5	3.7	5.6	5.3	4.4	5.9	3.9
AvantGarde	4.3	3.6	3.6	4.9	4.4	3.9	4.7	4.1	3.7	4.5
Poor_Value	3.4	4.3	4.3	3.5	3.6	2.6	2.9	4.3	3.3	3.8
S1	6	2.1	6	6.1	3.3	6	7.5	1.2	8.3	1.7
S2	5.9	6	7.7	3.5	3.1	5.5	5.4	2.5	5.4	4.9
S3	8.6	2.1	3.4	8.1	5.8	8.3	8.4	5.3	7.3	3.4
Overall	6.3	3.9	6	5.5	4	6.5	6.8	3	6.7	4
