	Compaq_IPac	Casio_Cassuioeia	HP_Jornada	Visor_Prism	Sony_CLIE	PalmV	PalmVII	Connector
Respondent_1	6	4	5	8	3	7	7	8
Respondent_2	6	6	4	7	1	8	6	9
Respondent_3	9	9	8	5	7	2	5	4
Respondent_4	4	4	5	7	4	6	7	7
Respondent_5	8	5	4	6	4	5	8	5
Respondent_6	5	3	4	4	1	7	7	8
Respondent_7	4	5	6	8	4	8	9	7
Respondent_8	8	5	5	8	3	9	6	9
Respondent_9	5	5	6	8	6	8	9	8
Respondent_10	7	6	7	6	6	4	4	5
Respondent_11	6	5	4	5	1	7	7	8
Respondent_12	7	8	9	4	6	4	4	5
Respondent_13	7	7	8	6	6	4	5	4
Respondent_14	8	7	8	6	6	5	5	4
Respondent_15	6	4	4	4	2	5	8	8
Respondent_16	5	2	5	9	5	7	8	7
Respondent_17	8	9	9	7	5	3	4	3
Respondent_18	7	9	8	6	7	4	5	4
Respondent_19	6	5	5	9	4	8	8	8
Respondent_20	5	8	5	9	4	8	9	9
Respondent_21	9	8	8	6	6	3	5	5
Respondent_22	7	6	5	5	1	8	9	7
Respondent_23	9	7	8	6	6	4	6	3
Respondent_24	4	7	6	9	5	7	9	6
Respondent_25	6	8	8	6	7	4	5	5
Respondent_26	8	9	8	5	6	4	5	3
Respondent_27	8	4	4	3	4	7	6	8
Respondent_28	9	8	8	7	6	5	4	3
Respondent_29	6	9	8	6	7	5	4	4
Respondent_30	5	4	5	7	5	8	6	6
Respondent_31	7	6	5	8	6	7	7	9
Respondent_32	6	4	3	5	2	6	7	9
Respondent_33	7	8	7	5	6	4	5	4
Respondent_34	8	8	8	6	6	4	4	4
Respondent_35	4	3	4	6	6	8	9	7
Respondent_36	7	9	9	6	7	2	4	2
Respondent_37	8	6	8	7	9	4	3	3
Respondent_38	6	3	4	4	3	7	8	9
Respondent_39	6	4	3	8	5	7	7	8
Respondent_40	9	7	7	6	7	4	5	5
Respondent_41	7	8	8	5	6	4	4	3
Respondent_42	7	7	7	6	6	5	4	4
Respondent_43	6	6	7	9	5	8	9	2
Respondent_44	6	3	3	4	1	7	8	8
Respondent_45	5	8	7	6	7	4	3	4
Respondent_46	8	7	8	6	6	4	4	4
Respondent_47	7	8	8	6	8	3	4	3
Respondent_48	7	4	4	4	1	8	9	7
Respondent_49	4	3	4	7	3	6	8	6
Respondent_50	7	8	7	7	5	4	6	7
