	G20	Ford	Audi	Toyota	Eagle	Honda	Saab	Pontiac	BMW	Mercury
Respondent_1	4	7	8	3	4	5	5	1	4	5
Respondent_2	4	8	6	5	8	7	3	1	5	2
Respondent_3	8	5	9	4	1	7	7	2	4	4
Respondent_4	7	1	8	1	4	6	5	5	7	3
Respondent_5	9	8	8	3	5	4	3	2	8	6
Respondent_6	5	6	5	5	2	4	8	4	4	7
Respondent_7	3	9	7	4	4	3	6	4	3	6
Respondent_8	4	7	9	3	1	7	9	3	6	6
Respondent_9	8	6	6	4	5	5	1	2	8	7
Respondent_10	6	4	6	3	2	8	7	3	1	8
Respondent_11	8	6	8	4	6	8	7	1	2	7
Respondent_12	8	5	6	6	2	3	8	1	6	6
Respondent_13	4	2	9	4	1	5	5	4	8	5
Respondent_14	5	5	8	5	6	4	6	1	3	7
Respondent_15	6	5	9	1	3	6	8	3	6	3
Respondent_16	6	3	9	2	7	8	6	3	7	3
Respondent_17	8	5	8	1	1	8	9	2	5	4
Respondent_18	5	9	7	5	2	4	7	5	6	1
Respondent_19	6	7	9	6	2	6	3	5	4	5
Respondent_20	6	9	8	2	3	8	6	1	7	5
Respondent_21	7	7	9	4	1	3	4	1	4	3
Respondent_22	6	9	6	2	3	4	6	1	6	3
Respondent_23	5	4	8	4	1	4	1	1	8	5
Respondent_24	7	4	8	3	2	3	4	6	9	5
Respondent_25	3	9	7	3	1	7	2	1	5	7
Respondent_26	8	2	1	9	4	8	8	5	8	4
Respondent_27	9	6	5	8	4	8	7	7	5	1
Respondent_28	9	1	2	4	9	9	9	4	8	3
Respondent_29	9	2	4	8	7	8	9	8	5	6
Respondent_30	9	3	4	8	7	6	6	4	5	1
Respondent_31	8	3	2	9	5	8	9	5	7	5
Respondent_32	5	1	2	7	5	9	9	7	8	6
Respondent_33	9	1	4	9	6	9	9	5	9	2
Respondent_34	8	2	6	8	7	9	8	5	9	5
Respondent_35	9	1	7	9	5	7	6	6	4	1
Respondent_36	8	1	4	9	6	8	8	3	7	4
Respondent_37	9	2	3	9	5	8	9	7	9	6
Respondent_38	8	2	3	6	5	9	9	3	9	6
Respondent_39	9	2	4	9	7	8	7	7	9	1
Respondent_40	8	3	2	7	5	8	9	5	6	1
Respondent_41	9	3	4	8	8	9	6	2	9	6
Respondent_42	8	3	2	8	6	8	9	4	7	2
Respondent_43	9	2	1	8	6	7	9	5	9	5
Respondent_44	9	2	3	9	7	8	9	7	5	4
Respondent_45	9	2	3	7	6	9	9	7	5	2
Respondent_46	8	1	2	9	5	8	9	4	9	4
Respondent_47	9	2	3	9	6	9	9	6	8	1
Respondent_48	9	3	6	8	2	8	9	4	8	4
Respondent_49	9	1	2	9	6	8	9	4	7	1
Respondent_50	9	3	6	9	6	9	8	8	7	5
Respondent_51	9	3	5	7	2	8	8	6	8	1
Respondent_52	9	5	4	7	1	2	5	1	9	3
Respondent_53	7	4	4	3	4	9	8	2	5	4
Respondent_54	7	2	6	5	3	7	6	4	8	6
Respondent_55	5	2	3	5	5	8	9	1	9	1
Respondent_56	4	5	6	5	4	9	8	4	6	4
Respondent_57	7	1	7	8	7	7	7	2	6	5
Respondent_58	5	3	7	7	2	8	7	2	9	6
Respondent_59	4	4	5	8	2	6	6	6	6	1
Respondent_60	8	4	9	4	5	5	5	2	7	4
Respondent_61	8	4	5	4	3	6	8	3	7	4
Respondent_62	7	5	7	7	6	6	6	5	7	3
Respondent_63	8	2	2	4	5	8	8	1	9	2
Respondent_64	5	6	4	7	4	4	5	1	8	1
Respondent_65	7	4	8	6	5	3	6	1	6	4
Respondent_66	8	2	8	3	5	7	8	4	6	2
Respondent_67	2	5	7	7	6	3	8	2	9	6
Respondent_68	6	1	5	5	2	9	7	2	6	5
Respondent_69	6	3	4	8	5	8	6	3	3	1
Respondent_70	7	2	9	8	3	9	7	4	4	5
Respondent_71	7	1	8	7	8	8	9	1	9	1
Respondent_72	6	5	3	5	4	6	9	4	8	2
Respondent_73	7	5	4	4	2	6	8	5	9	5
Respondent_74	8	5	6	6	6	7	7	4	7	4
Respondent_75	7	3	6	8	4	7	7	5	5	3
