Company,Mission
Microsoft Corporation," At Microsoft, we work to help people and businesses throughout the world realize their full potential. This is our mission. Everything we do reflects this mission and the values that make it possible."
Western & Southern Mutual Holding Company," Customer Mission: To help consumers meet the bulk of their financial needs by providing responsive, competitive life, health, retirement savings and investment products and services. • Home Office Mission: To develop increasingly profitable, long-term relationships with our customers, producers and other stakeholders. • Financial Mission: To be a top-quartile performer in everything we do; top decile in our core area of focus. • Business Development Mission: To create profitable relationships with customers by providing needs-based products and services while observing the highest standards of ethics and business conduct."
FirstEnergy Corp.," FirstEnergy will provide competitively priced, high-quality products and value-added services in: Energy sales and services; Energy delivery; Power supply; and Regulated and unregulated supplemental services related to our core business. "
Abbott Laboratories," Focus on advancing patient care by developing innovative solutions in diagnostics, medical devices, nutritionals and pharmaceuticals."
"Graybar Electric Company, Inc."," For Our Customers - We will add value for our customers by anticipating and identifying their needs and providing costeffective solutions. Through excellent and efficient service, we will meet our customers' expectations. They will see us as a leader in the industry; For Our Suppliers - We will be the channel of choice for our suppliers by providing cost-effective and efficient ways to bring their products, services and solutions to our mutual customers. They will see us as a leader in the industry; For Our Employees - We will provide an environment that challenges our employees to learn, grow and prosper in an atmosphere of respect and recognition. Our employees will be proud to work for a profitable and thriving employee-owned company; For Our Shareholders - We will be the industry leader in the products and services we offer while providing increased shareholder value at optimal risk; For Our Community - Graybar will be a solid corporate citizen and will encourage community involvement among its employees and retirees."
McDonald's Corporation," Is to be our customers' favorite place and way to eat and drink. Our worldwide operations are aligned around a global strategy called the Plan to Win, which center on an exceptional customer experience – People, Products, Place, Price and Promotion. We are committed to continuously improving our operations and enhancing our customers' experience."
"Staples, Inc."," Is to help diverse businesses and historically underutilized businesses (HUBs) create job opportunities to reflect the faces of the customers we serve. Our supplier diversity strategies are designed to promote and increase the inclusion of diverse suppliers in our supply chain, including: 1. Certified 8(a) Firms (8A) 2. Small Disadvantaged Businesses (SDB) 3. Women-Owned Businesses (WBE) 4. HubZone Businesses 5. Veteran-Owned Businesses (VO) 6. Service Disabled Veteran-Owned Businesses (SDVOB) 7. Lesbian, Gay, Bisexual, Transgender Businesses (LGBT)."
"Mattel, Inc."," It selects, monitors, evaluates and supports the Chief Executive Officer and oversees the development and pursuit of corporate policies and strategies. It serves the Company’s stockholders through a strong commitment to the effective and ethical management of the Company in a manner which optimizes sustainable long-term profitability and is responsive to the legitimate interests of other corporate constituencies, such as employees, customers, suppliers and the communities in which the Company operates."
Granite Construction Incorporated, leave the community better off today than it was yesterday.
LSI Corporation," LSI Manufacturing Solutions was formed to solve one of the largest problems facing today’s manufacturing companies - lack of quality talent.  Our goal is to provide exceptional service to our clients by supplying the highest quality candidates available in today’s workforce, specifically in the precision metal turning industry (screw machining, CNC, Swiss style machining) as well as assembly and automation."
Xcel Energy Inc.," Our company’s vitality comes from doing what we do best  being a top utility  and growing by doing it better. We are committed to satisfying our customers by continuously improving our operations to be the lowest-cost, most-reliable, environmentally sound energy provider."
Ecolab Inc.," Our mission is to be the leading global innovator, developer and provider of cleaning, sanitation and maintenance products, systems, and services. As a team, we will achieve aggressive growth and fair return for our shareholders. We will accomplish this by exceeding the expectations of our customers while conserving resources and preserving the quality of the environment."
"Owens & Minor, Inc."," Our mission is to create consistent value for our customers and supply chain partners that will maximize shareholder value and long-term earnings growth: we will do this by managing our business with integrity and the highest ethical standards, while acting in a socially responsible manner with particular emphasis on the well-being of our teammates and the communities we serve."
"American Financial Group, Inc.", Our purpose is to enable individuals and businesses to manage financial risk. We provide insurance products and services tailored to meet the specific and ever-changing financial risk exposures facing our customers. We build value for our investors through the strength of our customers' satisfaction and by consistently producing superior operating results.
