Respondents ,Professional,Income,Age
Respondent 1,1,40,45
Respondent 2,0,20,41
Respondent 3,0,20,31
Respondent 4,1,30,37
Respondent 5,1,45,56
Respondent 6,1,35,28
Respondent 7,1,45,30
Respondent 8,0,15,58
Respondent 9,0,45,55
Respondent 10,0,45,23
Respondent 11,1,50,34
Respondent 12,0,25,52
Respondent 13,1,65,32
Respondent 14,1,60,56
Respondent 15,1,30,22
Respondent 16,0,45,36
Respondent 17,0,55,48
Respondent 18,0,25,30
Respondent 19,0,40,32
Respondent 20,1,70,55
Respondent 21,1,55,56
Respondent 22,0,25,36
Respondent 23,1,15,26
Respondent 24,1,50,30
Respondent 25,1,70,31
Respondent 26,1,70,58
Respondent 27,0,55,50
Respondent 28,0,55,57
Respondent 29,0,50,60
Respondent 30,0,30,32
Respondent 31,0,50,28
Respondent 32,0,30,49
Respondent 33,1,55,38
Respondent 34,0,65,59
Respondent 35,1,25,33
Respondent 36,0,20,24
Respondent 37,1,40,20
Respondent 38,1,20,30
Respondent 39,0,45,59
Respondent 40,0,70,44
