Respondents,Variety of choice,Electronics,Furniture,Quality of service,Low prices,Return policy
Respondent 1,8,6,6,3,2,2
Respondent 2,6,3,1,4,7,8
Respondent 3,6,1,2,4,9,6
Respondent 4,8,3,3,4,8,7
Respondent 5,4,6,3,9,2,5
Respondent 6,8,4,3,5,10,6
Respondent 7,7,2,2,2,8,7
Respondent 8,7,5,7,2,2,3
Respondent 9,7,7,5,1,5,4
Respondent 10,8,4,0,4,9,8
Respondent 11,9,8,5,1,5,2
Respondent 12,4,4,2,8,2,3
Respondent 13,10,6,6,1,3,3
Respondent 14,6,5,2,9,3,6
Respondent 15,7,3,0,2,7,6
Respondent 16,9,6,7,4,5,2
Respondent 17,10,6,7,4,4,3
Respondent 18,5,2,1,3,8,7
Respondent 19,10,5,4,4,3,3
Respondent 20,5,5,2,9,2,6
Respondent 21,7,3,1,9,2,3
Respondent 22,8,6,6,2,5,4
Respondent 23,8,4,1,4,7,8
Respondent 24,4,3,0,7,1,3
Respondent 25,10,5,7,1,4,4
Respondent 26,10,6,6,2,2,2
Respondent 27,10,5,7,2,5,2
Respondent 28,4,5,2,8,4,5
Respondent 29,7,1,1,5,9,5
Respondent 30,10,8,4,4,5,5
Respondent 31,5,4,2,5,10,5
Respondent 32,10,5,4,1,2,2
Respondent 33,7,6,5,3,5,3
Respondent 34,10,5,7,1,2,5
Respondent 35,7,3,2,2,10,5
Respondent 36,8,4,2,3,7,5
Respondent 37,7,1,0,2,7,5
Respondent 38,6,4,2,9,4,4
Respondent 39,9,6,6,4,3,3
Respondent 40,10,8,5,3,4,5
