Name,I don.t feel particularly pleased with the way I am,I am intensely interested in other people,I feel that life is very rewarding,I have very warm feelings towards almost everyone,I rarely wake up feeling rested,I am not particularly optimistic about the future,I find most things amusing,I am always committed and involved,Life is good,I don.t think that the world is a good place,I laugh a lot,I am well satisfied about everything in my life,I don.t think I look attractive,There is a gap between what I would like to do and what I have done,I am very happy,I find beauty in some things,I always have a cheerful effect on others,I can fit in everything I want to,I feel that I am not especially in control of my life,I feel able to take anything on,I feel fully mentally alert,I often experience joy and elation,I do not find it easy to make decisions,I do not have a particular sense of meaning and purpose in my life,I feel I have a great deal of energy,I usually have a good influence on events,I do not have fun with other people,I don.t feel particularly healthy,I do not have particularly happy memories of the past
Albino Peacock,5,4,6,6,3,3,6,6,4,3,4,4,4,6,4,7,2,2,2,2,2,6,6,2,4,2,3,5,1
Alakay,3,6,7,7,1,1,7,7,7,1,7,7,1,1,7,7,7,6,1,7,7,7,6,1,7,7,3,1,1
Coldplayer,6,4,1,3,7,3,1,6,2,3,1,1,1,7,3,7,1,2,7,3,1,3,7,1,3,3,3,7,3
Batman,1,6,6,6,3,1,6,7,6,3,7,6,6,4,4,7,6,3,3,3,7,6,1,1,6,7,1,5,3
Captain,6,7,3,3,5,7,3,7,3,7,3,3,3,7,3,7,7,7,7,7,5,7,7,7,7,7,1,3,1
Batman.1,3,5,6,3,4,3,2,4,6,3,5,3,3,6,6,7,6,6,3,6,6,7,5,5,6,6,3,1,1
apps,5,4,7,6,6,6,6,6,6,3,6,5,6,6,5,6,6,5,6,4,4,5,4,5,7,6,5,7,2
Bauer,3,5,6,4,2,3,3,7,7,3,4,2,3,5,4,6,4,4,2,5,5,5,7,5,7,7,4,4,3
Andy,5,6,5,6,4,5,4,7,6,4,4,5,5,7,6,6,5,6,6,6,5,5,5,2,6,6,5,5,6
Aflatoon,3,5,5,6,4,3,4,2,6,3,7,6,3,1,5,5,5,6,3,6,5,6,6,2,5,5,2,6,1
AshBa,2,4,6,4,6,3,3,6,4,3,6,1,6,7,2,7,6,2,2,7,6,6,3,5,5,6,3,5,1
Bachchan,3,6,6,7,3,3,4,4,7,3,4,6,3,2,5,7,4,5,5,5,4,4,6,3,4,6,1,1,2
Bruce Wayn,6,7,6,6,2,5,5,4,6,5,6,5,7,7,6,6,4,4,5,2,2,5,6,3,4,2,3,2,6
Bruce Wane,3,4,7,5,2,3,6,6,7,4,7,7,3,4,5,7,7,6,6,7,7,7,4,2,7,6,3,3,3
Darsh,3,5,5,4,6,3,4,6,6,2,6,5,5,5,5,5,6,5,2,4,4,6,2,3,6,5,3,5,3
crossfit,3,5,6,6,6,3,4,7,6,3,7,5,1,6,5,2,6,4,3,6,5,6,2,1,7,7,3,1,1
