"","FYEAR","CIK","CONM","CONML","Enterprise Software/IT Services","Technology Delivery Services","Platform Design and Sols","Stakeholder engagement","Knowledge Management and Delivery","Sustainable Innovation and sols","Next gen payment sols","Networking sols","Integrated sols","Communication sols"
"2005_2135",2005,2135,"AFFILIATED COMPUTER SERVICES","Affiliated Computer Services Inc.",0.178140457493616,0.0846501003526932,0.0626355771982548,0.119846785094488,0.0828484071611007,0.0732663703366831,0.169203158966583,0.0605279258110926,0.0715486876833795,0.0973325299021088
"2005_2186",2005,2186,"RELM WIRELESS CORP","Relm Wireless Corp",0.0728570096860398,0.109103519969124,0.08590606999996,0.0861319803078109,0.0702285694976689,0.0743114428785487,0.0681022658125825,0.0696477628557882,0.0573265848335159,0.306384794158961
"2005_2488",2005,2488,"ADVANCED MICRO DEVICES","Advanced Micro Devices Inc",0.0729690078341858,0.100826543969784,0.240852079434906,0.104477467843327,0.0760295609139881,0.083341031686574,0.0737843509465043,0.0979540585969177,0.0748223600217479,0.0749435387520659
"2005_4127",2005,4127,"SKYWORKS SOLUTIONS INC","Skyworks Solutions Inc",0.0960995267395485,0.169228586318397,0.152259940470828,0.0776230771322662,0.0735813375327233,0.0794187115043325,0.0639047908312723,0.0760768029415933,0.0719445360697163,0.139862690459322
"2005_5117",2005,5117,"EMTEC INC","Emtec Inc",0.129158133011791,0.090971654432371,0.0707293358960144,0.243081936104301,0.0825260244947621,0.0639423653221354,0.0942356171902654,0.0763935778044191,0.0706940016668334,0.0782673540771073
"2005_6281",2005,6281,"ANALOG DEVICES","Analog Devices Inc.",0.0806590067009108,0.175897351417526,0.202446503903088,0.0783821557529422,0.0696013119121709,0.0872104005791997,0.0665318624242082,0.0781463469820454,0.0688644896368029,0.0922605706911058
"2005_6292",2005,6292,"ANALYSTS INTERNATIONAL CORP","Analysts International Corp",0.16903081815975,0.0890226999387124,0.0655064748581598,0.18480407955165,0.0824143488223853,0.0584290246716151,0.107250769147251,0.065066574677153,0.0843278559416322,0.094147354231692
"2005_6314",2005,6314,"ANAREN INC","Anaren Inc",0.0744414145123031,0.201768892110201,0.0933887040887681,0.139754598823348,0.0590043631242253,0.0761879580496351,0.0566483457634033,0.0776245751805265,0.0572334699967365,0.163947678350854
"2005_6951",2005,6951,"APPLIED MATERIALS INC","Applied Materials Inc.",0.062041263552867,0.115216751143509,0.1281952705573,0.053126125208942,0.0504658335173106,0.372247073746757,0.0558870232634243,0.0601530041431545,0.0534069549954836,0.0492606998712517
"2005_7536",2005,7536,"ARROW ELECTRONICS INC","Arrow Electronics Inc",0.138232224822113,0.167186453524248,0.102546936559575,0.176804077053972,0.0664506113712859,0.0594180172878901,0.0873407348375496,0.0677532857507803,0.0591002909954382,0.0751673677971477
"2005_8146",2005,8146,"ASTRO-MED INC","Astro-Med Inc",0.0652340161606348,0.127826703762288,0.0811528072749805,0.125977563602071,0.079305637478162,0.21066261643231,0.0961032447548316,0.0628112645139484,0.0966467067134717,0.0542794393073016
"2005_8670",2005,8670,"AUTOMATIC DATA PROCESSING","Automatic Data Processing Inc.",0.128180768061571,0.0687666681543152,0.0487816888761123,0.117790880578199,0.0841697029381602,0.0666736961673668,0.297816361098473,0.0451667714632483,0.0701450918511765,0.0725083708113779
"2005_8858",2005,8858,"AVNET INC","Avnet Inc",0.132049335362629,0.19700759499428,0.115045770742794,0.123319721575797,0.0723299428179204,0.0570027469740698,0.0895063529564937,0.0758802758337086,0.0703466927599424,0.0675115659823663
"2005_9092",2005,9092,"BADGER METER INC","Badger Meter Inc.",0.0749898395037824,0.169344651475639,0.0766376110166556,0.144429550953226,0.0654575860818187,0.201838404215273,0.0715370783719118,0.0518782693439239,0.0594530312453169,0.0844339777924521
"2005_13606",2005,13606,"WHITE ELECTRONIC DESIGNS CP","White Electronic Designs Corp",0.079181959763472,0.18743478592877,0.128757246450226,0.122954673594203,0.0672654741378114,0.118411695865081,0.0807904680953617,0.0611132526403638,0.0583227336745979,0.0957677098501135
"2005_14280",2005,14280,"MSGI SECURITY SOLUTIONS INC","MSGI Security Solutions Inc",0.0831019218694383,0.0650575784811407,0.0635081672387206,0.273936802531066,0.077823171859793,0.0884192481432933,0.100260505299539,0.0824932472259349,0.0631200419974824,0.102279315353592
"2005_16058",2005,16058,"CACI INTL INC  -CL A","CACI International Inc.",0.137100318406004,0.0861567873871112,0.0643352789673102,0.267723143155304,0.0761607185221043,0.0596467375238845,0.0920474832856952,0.0580113334455434,0.0656308437600411,0.0931873555470018
"2005_20232",2005,20232,"CHYRONHEGO CORP","ChyronHego Corp",0.0641142931154454,0.0760001608112065,0.0925848112622536,0.061005667172685,0.107869645962909,0.0710805916166442,0.0623823018592429,0.0927742901420947,0.264423770139635,0.107764467917884
"2005_21438",2005,21438,"THINKENGINE NETWORKS INC","ThinkEngine Networks Inc",0.0702116052744577,0.127702311414752,0.0711789347110401,0.206921246238749,0.0672249551426484,0.0650936821865128,0.078105242057043,0.133409557709775,0.0623996272133465,0.117752838051674
"2005_21510",2005,21510,"COHERENT INC","Coherent Inc",0.0640243977245002,0.197272234594209,0.102667820275579,0.0587935029496516,0.0558614265744687,0.293161143595183,0.0611783632054024,0.0578911755692683,0.0602162239337121,0.0489337115780268
"2005_21535",2005,21535,"COHU INC","Cohu Inc",0.0858709391771295,0.171625877319499,0.197468827237969,0.0850423594012511,0.0680830885782448,0.124067411994942,0.0619108022205612,0.066581853517436,0.0562397243844951,0.0831091161684726
"2005_22701",2005,22701,"COMMUNICATIONS SYSTEMS INC","Communications Systems Inc.",0.0806989663401687,0.203856642780459,0.0889432228252463,0.103724870899835,0.0682904543192891,0.0616941972464838,0.062901732841909,0.118195446428331,0.0661535411302633,0.145540925188015
"2005_23019",2005,23019,"COMPUTER HORIZONS CORP","Computer Horizons Corp.",0.165123558652771,0.090439295549028,0.0721728660673636,0.243351122268559,0.0798299524674444,0.0596075648095601,0.0867599685132985,0.0562993902201241,0.0755708327837374,0.070845448668114
"2005_23082",2005,23082,"COMPUTER SCIENCES CORP","Computer Sciences Corp",0.154067410646822,0.0863369651190365,0.0610602391699652,0.247422652433757,0.0715298402130274,0.0802835686821058,0.100560368065481,0.0502930500914853,0.0580768355452773,0.0903690700330428
"2005_23111",2005,23111,"COMPUTER TASK GROUP INC","Computer Task Group Inc",0.153793400106778,0.0952597598149213,0.086065533802763,0.292192843244139,0.0737483529089028,0.050745427694417,0.0983145558102827,0.0374815830712338,0.0462958000291373,0.0661027435174255
"2005_23197",2005,23197,"COMTECH TELECOMMUN","Comtech Telecommunications Corp.",0.0801743044091667,0.132140616371944,0.0753296098569997,0.0942290503371674,0.0574121674923434,0.0791394055723679,0.0659072065242386,0.0803015835438026,0.0536734456150605,0.28169261027691
"2005_24741",2005,24741,"CORNING INC","Corning Inc",0.0683163863160765,0.255161164644509,0.100131515307035,0.081917898450583,0.0568585031021423,0.189135324943009,0.0617673453805233,0.0538638860079196,0.0451161246088167,0.0877318512393856
"2005_26058",2005,26058,"CTS CORP","CTS Corp",0.0918947088575652,0.294402908145269,0.0985606690006787,0.109840482346996,0.0641325761259363,0.0817709872723598,0.0785457837054779,0.0582674399286498,0.0513596199594887,0.0712248246575789
"2005_27093",2005,27093,"DATARAM CORP","Dataram Corp",0.087182455758184,0.128523189829051,0.155237070941636,0.203242779015273,0.0760342429970379,0.0665369756820472,0.0698739003891445,0.0860533144670678,0.067453061541651,0.0598630093789067
"2005_28823",2005,28823,"DIEBOLD INC","Diebold Inc",0.0990757731462439,0.120768012386113,0.0673053366411524,0.225177773439053,0.0768675471250757,0.0725456632293673,0.139979281152916,0.0589264951428674,0.0643866361626811,0.0749674815745308
"2005_29002",2005,29002,"DIODES INC","Diodes Inc",0.0934634095758977,0.199964228361884,0.158574128939048,0.114378933934446,0.0747017444189299,0.0816483145050591,0.0719365430358705,0.0666769984182141,0.0618933438055788,0.0767623550050723
"2005_30140",2005,30140,"LASERCARD CORP","Lasercard Corp",0.0688829681870504,0.104670380041261,0.0998861318994283,0.138725074287833,0.0654419730103627,0.0860128599174946,0.237489719854913,0.068154964993419,0.0680564975754884,0.0626794302327506
"2005_30822",2005,30822,"DYNAMICS RESEARCH CORP","Dynamics Research Corp",0.119120083878583,0.0799680616603828,0.063908519644445,0.262276089393684,0.0629171650459194,0.0933856372326239,0.0873108708346297,0.054899563914641,0.0705688644166946,0.105645143978396
"2005_31235",2005,31235,"EASTMAN KODAK CO","Eastman Kodak Co",0.0860032510646484,0.0997546852710138,0.124142120653214,0.119980975455431,0.0956591613730229,0.142376377707661,0.115765958032664,0.0507084255255481,0.0940698394777116,0.0715392054390849
