"","word","sentiment","lexicon","score"
"1","abacus","trust","nrc",NA
"2","abandon","fear","nrc",NA
"3","abandon","negative","nrc",NA
"4","abandon","sadness","nrc",NA
"5","abandoned","anger","nrc",NA
"6","abandoned","fear","nrc",NA
"7","abandoned","negative","nrc",NA
"8","abandoned","sadness","nrc",NA
"9","abandonment","anger","nrc",NA
"10","abandonment","fear","nrc",NA
"11","abandonment","negative","nrc",NA
"12","abandonment","sadness","nrc",NA
"13","abandonment","surprise","nrc",NA
"14","abba","positive","nrc",NA
"15","abbot","trust","nrc",NA
"16","abduction","fear","nrc",NA
"17","abduction","negative","nrc",NA
"18","abduction","sadness","nrc",NA
"19","abduction","surprise","nrc",NA
"20","aberrant","negative","nrc",NA
"21","aberration","disgust","nrc",NA
"22","aberration","negative","nrc",NA
"23","abhor","anger","nrc",NA
"24","abhor","disgust","nrc",NA
"25","abhor","fear","nrc",NA
"26","abhor","negative","nrc",NA
"27","abhorrent","anger","nrc",NA
"28","abhorrent","disgust","nrc",NA
"29","abhorrent","fear","nrc",NA
"30","abhorrent","negative","nrc",NA
"31","ability","positive","nrc",NA
"32","abject","disgust","nrc",NA
"33","abject","negative","nrc",NA
"34","abnormal","disgust","nrc",NA
"35","abnormal","negative","nrc",NA
"36","abolish","anger","nrc",NA
"37","abolish","negative","nrc",NA
"38","abolition","negative","nrc",NA
"39","abominable","disgust","nrc",NA
"40","abominable","fear","nrc",NA
"41","abominable","negative","nrc",NA
"42","abomination","anger","nrc",NA
"43","abomination","disgust","nrc",NA
"44","abomination","fear","nrc",NA
"45","abomination","negative","nrc",NA
"46","abort","negative","nrc",NA
"47","abortion","disgust","nrc",NA
"48","abortion","fear","nrc",NA
"49","abortion","negative","nrc",NA
"50","abortion","sadness","nrc",NA
"51","abortive","negative","nrc",NA
"52","abortive","sadness","nrc",NA
"53","abovementioned","positive","nrc",NA
"54","abrasion","negative","nrc",NA
"55","abrogate","negative","nrc",NA
"56","abrupt","surprise","nrc",NA
"57","abscess","negative","nrc",NA
"58","abscess","sadness","nrc",NA
"59","absence","fear","nrc",NA
"60","absence","negative","nrc",NA
"61","absence","sadness","nrc",NA
"62","absent","negative","nrc",NA
"63","absent","sadness","nrc",NA
"64","absentee","negative","nrc",NA
"65","absentee","sadness","nrc",NA
"66","absenteeism","negative","nrc",NA
"67","absolute","positive","nrc",NA
"68","absolution","joy","nrc",NA
"69","absolution","positive","nrc",NA
"70","absolution","trust","nrc",NA
"71","absorbed","positive","nrc",NA
"72","absurd","negative","nrc",NA
"73","absurdity","negative","nrc",NA
"74","abundance","anticipation","nrc",NA
"75","abundance","disgust","nrc",NA
"76","abundance","joy","nrc",NA
"77","abundance","negative","nrc",NA
"78","abundance","positive","nrc",NA
"79","abundance","trust","nrc",NA
"80","abundant","joy","nrc",NA
"81","abundant","positive","nrc",NA
"82","abuse","anger","nrc",NA
"83","abuse","disgust","nrc",NA
"84","abuse","fear","nrc",NA
"85","abuse","negative","nrc",NA
"86","abuse","sadness","nrc",NA
"87","abysmal","negative","nrc",NA
"88","abysmal","sadness","nrc",NA
"89","abyss","fear","nrc",NA
"90","abyss","negative","nrc",NA
"91","abyss","sadness","nrc",NA
"92","academic","positive","nrc",NA
"93","academic","trust","nrc",NA
"94","academy","positive","nrc",NA
"95","accelerate","anticipation","nrc",NA
"96","acceptable","positive","nrc",NA
"97","acceptance","positive","nrc",NA
"98","accessible","positive","nrc",NA
"99","accident","fear","nrc",NA
"100","accident","negative","nrc",NA
"101","accident","sadness","nrc",NA
"102","accident","surprise","nrc",NA
"103","accidental","fear","nrc",NA
"104","accidental","negative","nrc",NA
"105","accidental","surprise","nrc",NA
"106","accidentally","surprise","nrc",NA
"107","accolade","anticipation","nrc",NA
"108","accolade","joy","nrc",NA
"109","accolade","positive","nrc",NA
"110","accolade","surprise","nrc",NA
"111","accolade","trust","nrc",NA
"112","accommodation","positive","nrc",NA
"113","accompaniment","anticipation","nrc",NA
"114","accompaniment","joy","nrc",NA
"115","accompaniment","positive","nrc",NA
"116","accompaniment","trust","nrc",NA
"117","accomplish","joy","nrc",NA
"118","accomplish","positive","nrc",NA
"119","accomplished","joy","nrc",NA
"120","accomplished","positive","nrc",NA
"121","accomplishment","positive","nrc",NA
"122","accord","positive","nrc",NA
"123","accord","trust","nrc",NA
"124","account","trust","nrc",NA
"125","accountability","positive","nrc",NA
"126","accountability","trust","nrc",NA
"127","accountable","positive","nrc",NA
"128","accountable","trust","nrc",NA
"129","accountant","trust","nrc",NA
"130","accounts","trust","nrc",NA
"131","accredited","positive","nrc",NA
"132","accredited","trust","nrc",NA
"133","accueil","positive","nrc",NA
"134","accurate","positive","nrc",NA
"135","accurate","trust","nrc",NA
"136","accursed","anger","nrc",NA
"137","accursed","fear","nrc",NA
"138","accursed","negative","nrc",NA
"139","accursed","sadness","nrc",NA
"140","accusation","anger","nrc",NA
"141","accusation","disgust","nrc",NA
"142","accusation","negative","nrc",NA
"143","accusative","negative","nrc",NA
"144","accused","anger","nrc",NA
"145","accused","fear","nrc",NA
"146","accused","negative","nrc",NA
"147","accuser","anger","nrc",NA
"148","accuser","fear","nrc",NA
"149","accuser","negative","nrc",NA
"150","accusing","anger","nrc",NA
"151","accusing","fear","nrc",NA
"152","accusing","negative","nrc",NA
"153","ace","positive","nrc",NA
"154","ache","negative","nrc",NA
"155","ache","sadness","nrc",NA
"156","achieve","joy","nrc",NA
"157","achieve","positive","nrc",NA
"158","achieve","trust","nrc",NA
"159","achievement","anticipation","nrc",NA
"160","achievement","joy","nrc",NA
"161","achievement","positive","nrc",NA
"162","achievement","trust","nrc",NA
"163","aching","negative","nrc",NA
"164","aching","sadness","nrc",NA
"165","acid","negative","nrc",NA
"166","acknowledgment","positive","nrc",NA
"167","acquire","positive","nrc",NA
"168","acquiring","anticipation","nrc",NA
"169","acquiring","positive","nrc",NA
"170","acrobat","fear","nrc",NA
"171","acrobat","joy","nrc",NA
"172","acrobat","positive","nrc",NA
"173","acrobat","trust","nrc",NA
"174","action","positive","nrc",NA
"175","actionable","anger","nrc",NA
"176","actionable","disgust","nrc",NA
"177","actionable","negative","nrc",NA
"178","actual","positive","nrc",NA
"179","acuity","positive","nrc",NA
"180","acumen","positive","nrc",NA
"181","adapt","positive","nrc",NA
"182","adaptable","positive","nrc",NA
"183","adder","anger","nrc",NA
"184","adder","disgust","nrc",NA
"185","adder","fear","nrc",NA
"186","adder","negative","nrc",NA
"187","adder","sadness","nrc",NA
"188","addiction","negative","nrc",NA
"189","addresses","anticipation","nrc",NA
"190","addresses","positive","nrc",NA
"191","adept","positive","nrc",NA
"192","adequacy","positive","nrc",NA
"193","adhering","trust","nrc",NA
"194","adipose","negative","nrc",NA
"195","adjudicate","fear","nrc",NA
"196","adjudicate","negative","nrc",NA
"197","adjunct","positive","nrc",NA
"198","administrative","trust","nrc",NA
"199","admirable","joy","nrc",NA
"200","admirable","positive","nrc",NA
"201","admirable","trust","nrc",NA
"202","admiral","positive","nrc",NA
"203","admiral","trust","nrc",NA
"204","admiration","joy","nrc",NA
"205","admiration","positive","nrc",NA
"206","admiration","trust","nrc",NA
"207","admire","positive","nrc",NA
"208","admire","trust","nrc",NA
"209","admirer","positive","nrc",NA
"210","admissible","positive","nrc",NA
"211","admissible","trust","nrc",NA
"212","admonition","fear","nrc",NA
"213","admonition","negative","nrc",NA
"214","adorable","joy","nrc",NA
"215","adorable","positive","nrc",NA
"216","adoration","joy","nrc",NA
"217","adoration","positive","nrc",NA
"218","adoration","trust","nrc",NA
"219","adore","anticipation","nrc",NA
"220","adore","joy","nrc",NA
"221","adore","positive","nrc",NA
"222","adore","trust","nrc",NA
"223","adrift","anticipation","nrc",NA
"224","adrift","fear","nrc",NA
"225","adrift","negative","nrc",NA
"226","adrift","sadness","nrc",NA
"227","adulterated","negative","nrc",NA
"228","adultery","disgust","nrc",NA
"229","adultery","negative","nrc",NA
"230","adultery","sadness","nrc",NA
"231","advance","anticipation","nrc",NA
"232","advance","fear","nrc",NA
"233","advance","joy","nrc",NA
"234","advance","positive","nrc",NA
"235","advance","surprise","nrc",NA
"236","advanced","positive","nrc",NA
"237","advancement","positive","nrc",NA
"238","advantage","positive","nrc",NA
"239","advantageous","positive","nrc",NA
"240","advent","anticipation","nrc",NA
"241","advent","joy","nrc",NA
"242","advent","positive","nrc",NA
"243","advent","trust","nrc",NA
"244","adventure","anticipation","nrc",NA
"245","adventure","positive","nrc",NA
"246","adventurous","positive","nrc",NA
