slnum,sent,label
1," ""2 key EXL differentiators noted in the report were: RevLift, a propriety analytics algorithm; and EXL's Freight Invoice Payment System, our robust workflow technology that integrates customers, carriers and service providers into a single solution that analyzes freight cost.",1
2," ""2Q '13 GAAP EPS excludes the estimated gain in the sale of inkjet-related technology and assets to Funai.",1
3," ""3 things stand out: First, as Bob said, 2013 is completing more favorably than anticipated, which bodes well for 2015 bids; second, the MBR is in our core markets, even backing out the prior period development, are in good shape; and third, as Bob said, it's pretty clear from the financial results that adding in the low star ratings, that we will likely not bid all or most of the noncore markets in our 2015 bids.",0
4," ""A big part of their transformation strategy is via the public cloud, taking advantage of the cloud's scalability and instant accessibility to drive amazing digital customer experiences.",1
5," ""A comprehensive analysis of our new channels and channel partners from the Microsemi acquisition was completed and we're making the adjustments required for an effective combined company approach.",1
6," ""A new installation board in this category has been developed and our production line will begin this quarter, and we'll begin shipping the installation products to our customers in the period.",1
7," ""A reminder to everyone that this conference call includes forward-looking statements regarding financial outlook for Ionis, Ionis' business, the business of Akcea Therapeutics and the therapeutic and commercial potential of Ionis' technology and products in development.",0
8," ""A significant amount of severance costs recognized in this quarter's period is attributable to new quantitative staffing models introduced within our branch network, a direct result of our data hub and shift towards analytics.",1
9," ""A significant part of Omnicom's success is driven by our investments in technology, data and analytics.",1
10," ""AAM's progress on diversification also involves expanding and innovating AAM's product portfolio.",1
11," ""About 1/3 of our broadcast station listeners also use the iHeartRadio platform, and iHeartRadio's digital listener base was built almost entirely through the promotion and advertising on the broadcast stations.",1
12," ""Accordingly, we're investing in hardware and software to support a number of technology initiatives in 2008.",1
13," ""Account acceptance of these new items is, in total, above our expectations, and we've got more innovation to come later in the year.",1
14," ""Across all of the products and services, we're realizing synergies in sales and marketing, operations, customer service, product-development from all of our acquisitions over the past 3 years.",1
15," ""Across our current recent wins and in conversations I've had with many business leaders, we are seeing strong alignment around our strategy to bring the world's greatest brands closer to their customers through digitally enabled solutions and data-driven insight.",1
16," ""Actual results could differ materially from these projected in the forward-looking statements as a result of certain risk factors, including, but not limited to, a challenging macroeconomic environment worldwide; fluctuations in demand for the company's products and services; a highly competitive business environment for network switching equipment; the company's effectiveness in controlling expenses, including the company's cost restructuring efforts; the possibility that the company might experience delays in the development of new-technologies and products; customer response to its new-technologies and products; the timing of any recovery in the global economy; risks related to the pending or future litigation; and the dependency on other parties for certain components and for the manufacturing of the company's products.",0
17," ""Additionally, and we've talked about this before, we booked nearly $100 million in new loans as part of our digital consumer unsecured installment loan pilot since the fourth quarter launch.",1
18," ""Additionally, as part of this plan, in the fourth quarter, we sold our existing Micronetics plant in Hudson  to the property developer from whom we're leasing the AMC.",0
19," ""After analyzing it, I believe we'll be at the lower end or even below the lower end of the fourth quarter guidance.""",0
20," ""After carefully analyzing the drivers for market changes, we're shifting our strategy in order to achieve our objective of delivering 15% EBIT in the Food Service business by 2020.",0
21," ""After extensive analysis, we've determined our turnover was too high and one of the reasons for that she lacked enough compensation -- fixed compensation during the early stages while she was learning the business and we've made a tremendous change there.",0
22," ""Agents and brokers will continue to leverage Trulia's innovative marketing solutions to engage with our transaction-ready audience, generate leads and gain exposure for themselves.",1
23," ""Akash joined us from McKinsey, where he co-led the Capital Markets & Investment Banking practice, and has a strong background focused on exactly what we're in the midst of, transforming businesses for the future and positioning them to drive organic growth and innovation.",1
24," ""Akcea's CEO, COO and CMO each have extensive leadership experience in successfully developing and commercializing drugs in the lipid and cardiometabolic space for rare and large patient populations.",1
25," ""All major lines of business reported expense leverage, except IT where we're making delivered investments in the cloud and other technology initiatives to drive future efficiencies and growth.",1
26," ""All of these new-product introductions further build on Diodes' reputation as an innovator in both space efficiency and power density.""",1
27," ""All told, we've replaced or recrafted about 3/4 of our menu over the past year, and we will continue to innovate and evolve with the changing taste of our guests.",1
28," ""Also, in Q4, we're aggressively experimenting with new-techniques and tactics to grow our So Connected hospitality club, which today has over 2 million active members, as well as better engage our members once they do join.",1
29," ""Although this feature isn't a material driver of our Promoted Listings revenue growth this quarter, we're really proud to be able to leverage our technology to connect sellers and buyers around the world.",1
30," ""Although we have not disclosed the breakdown of our long-term 7% system sales growth target between same-store sales growth and net unit growth, the key to achieving this over the long term is to ensure a strong development pipeline that's in place with growth-minded franchisees.",1
